Name,Email,Phone,WhatsApp Number,Status,Source,Budget Min,Budget Max,Preferred Location,Property Type,Bedroom,Tier,Notes
Lead User 559,lead559@example.com,9000000558,9000000558,contacted,facebook,7300000,10100000,Hyderabad,2 BHK,1,high,Auto-generated lead 559 interested in 2 BHK at Hyderabad.
Lead User 560,lead560@example.com,9000000559,9000000559,new,referral,6400000,11400000,Hyderabad,Villa,2,medium,Auto-generated lead 560 interested in Villa at Hyderabad.
Lead User 561,lead561@example.com,9000000560,9000000560,new,google_ads,4300000,6000000,Mumbai,3 BHK,5,low,Auto-generated lead 561 interested in 3 BHK at Mumbai.
Lead User 562,lead562@example.com,9000000561,9000000561,lost,google_ads,3800000,5200000,Bangalore,3 BHK,4,high,Auto-generated lead 562 interested in 3 BHK at Bangalore.
Lead User 563,lead563@example.com,9000000562,9000000562,qualified,facebook,5500000,9600000,Delhi,2 BHK,2,low,Auto-generated lead 563 interested in 2 BHK at Delhi.
Lead User 564,lead564@example.com,9000000563,9000000563,contacted,facebook,4800000,8400000,Mumbai,Villa,1,low,Auto-generated lead 564 interested in Villa at Mumbai.
Lead User 565,lead565@example.com,9000000564,9000000564,new,google_ads,5000000,9900000,Delhi,4 BHK,3,low,Auto-generated lead 565 interested in 4 BHK at Delhi.
Lead User 566,lead566@example.com,9000000565,9000000565,contacted,website,7200000,10900000,Bangalore,1 BHK,4,low,Auto-generated lead 566 interested in 1 BHK at Bangalore.
Lead User 567,lead567@example.com,9000000566,9000000566,new,referral,7200000,10100000,Hyderabad,1 BHK,4,medium,Auto-generated lead 567 interested in 1 BHK at Hyderabad.
Lead User 568,lead568@example.com,9000000567,9000000567,lost,referral,3300000,4900000,Mumbai,Villa,3,medium,Auto-generated lead 568 interested in Villa at Mumbai.
Lead User 569,lead569@example.com,9000000568,9000000568,qualified,facebook,6400000,7900000,Mumbai,Villa,4,high,Auto-generated lead 569 interested in Villa at Mumbai.
Lead User 570,lead570@example.com,9000000569,9000000569,contacted,facebook,6000000,10500000,Hyderabad,2 BHK,5,low,Auto-generated lead 570 interested in 2 BHK at Hyderabad.
Lead User 571,lead571@example.com,9000000570,9000000570,lost,google_ads,5400000,7800000,Delhi,2 BHK,5,high,Auto-generated lead 571 interested in 2 BHK at Delhi.
Lead User 572,lead572@example.com,9000000571,9000000571,lost,facebook,6300000,8300000,Pune,4 BHK,3,low,Auto-generated lead 572 interested in 4 BHK at Pune.
Lead User 573,lead573@example.com,9000000572,9000000572,new,facebook,4200000,6600000,Bangalore,Penthouse,1,low,Auto-generated lead 573 interested in Penthouse at Bangalore.
Lead User 574,lead574@example.com,9000000573,9000000573,contacted,google_ads,6000000,9600000,Bangalore,2 BHK,4,medium,Auto-generated lead 574 interested in 2 BHK at Bangalore.
Lead User 575,lead575@example.com,9000000574,9000000574,lost,facebook,5300000,7200000,Delhi,3 BHK,4,low,Auto-generated lead 575 interested in 3 BHK at Delhi.
Lead User 576,lead576@example.com,9000000575,9000000575,contacted,website,6700000,10300000,Delhi,1 BHK,2,high,Auto-generated lead 576 interested in 1 BHK at Delhi.
Lead User 577,lead577@example.com,9000000576,9000000576,new,google_ads,5100000,6300000,Delhi,4 BHK,4,low,Auto-generated lead 577 interested in 4 BHK at Delhi.
Lead User 578,lead578@example.com,9000000577,9000000577,contacted,website,3100000,6100000,Mumbai,Villa,1,medium,Auto-generated lead 578 interested in Villa at Mumbai.
Lead User 579,lead579@example.com,9000000578,9000000578,lost,facebook,4400000,6600000,Delhi,3 BHK,3,high,Auto-generated lead 579 interested in 3 BHK at Delhi.
Lead User 580,lead580@example.com,9000000579,9000000579,qualified,referral,4200000,7900000,Bangalore,Penthouse,1,high,Auto-generated lead 580 interested in Penthouse at Bangalore.
Lead User 581,lead581@example.com,9000000580,9000000580,new,website,6700000,9100000,Pune,Penthouse,2,medium,Auto-generated lead 581 interested in Penthouse at Pune.
Lead User 582,lead582@example.com,9000000581,9000000581,contacted,referral,3300000,4500000,Delhi,Villa,4,high,Auto-generated lead 582 interested in Villa at Delhi.
Lead User 583,lead583@example.com,9000000582,9000000582,lost,referral,6500000,10900000,Pune,3 BHK,1,medium,Auto-generated lead 583 interested in 3 BHK at Pune.
Lead User 584,lead584@example.com,9000000583,9000000583,lost,referral,4000000,6800000,Bangalore,Villa,1,medium,Auto-generated lead 584 interested in Villa at Bangalore.
Lead User 585,lead585@example.com,9000000584,9000000584,lost,google_ads,5600000,10200000,Hyderabad,Penthouse,5,medium,Auto-generated lead 585 interested in Penthouse at Hyderabad.
Lead User 586,lead586@example.com,9000000585,9000000585,contacted,google_ads,3300000,4500000,Delhi,1 BHK,1,low,Auto-generated lead 586 interested in 1 BHK at Delhi.
Lead User 587,lead587@example.com,9000000586,9000000586,qualified,website,4500000,8300000,Pune,Penthouse,5,high,Auto-generated lead 587 interested in Penthouse at Pune.
Lead User 588,lead588@example.com,9000000587,9000000587,lost,referral,4700000,7900000,Bangalore,3 BHK,4,low,Auto-generated lead 588 interested in 3 BHK at Bangalore.
Lead User 589,lead589@example.com,9000000588,9000000588,qualified,facebook,5400000,6700000,Pune,2 BHK,1,medium,Auto-generated lead 589 interested in 2 BHK at Pune.
Lead User 590,lead590@example.com,9000000589,9000000589,contacted,website,4300000,6700000,Pune,4 BHK,4,low,Auto-generated lead 590 interested in 4 BHK at Pune.
Lead User 591,lead591@example.com,9000000590,9000000590,lost,referral,7100000,11300000,Pune,3 BHK,4,low,Auto-generated lead 591 interested in 3 BHK at Pune.
Lead User 592,lead592@example.com,9000000591,9000000591,new,google_ads,3000000,7400000,Pune,Villa,1,high,Auto-generated lead 592 interested in Villa at Pune.
Lead User 593,lead593@example.com,9000000592,9000000592,lost,google_ads,6500000,8100000,Mumbai,3 BHK,2,high,Auto-generated lead 593 interested in 3 BHK at Mumbai.
Lead User 594,lead594@example.com,9000000593,9000000593,contacted,google_ads,3300000,6900000,Pune,Penthouse,2,low,Auto-generated lead 594 interested in Penthouse at Pune.
Lead User 595,lead595@example.com,9000000594,9000000594,contacted,website,5300000,7000000,Hyderabad,3 BHK,5,high,Auto-generated lead 595 interested in 3 BHK at Hyderabad.
Lead User 596,lead596@example.com,9000000595,9000000595,qualified,facebook,7900000,10200000,Pune,2 BHK,4,medium,Auto-generated lead 596 interested in 2 BHK at Pune.
Lead User 597,lead597@example.com,9000000596,9000000596,contacted,google_ads,3600000,7500000,Pune,4 BHK,3,low,Auto-generated lead 597 interested in 4 BHK at Pune.
Lead User 598,lead598@example.com,9000000597,9000000597,new,google_ads,3700000,4700000,Bangalore,4 BHK,5,high,Auto-generated lead 598 interested in 4 BHK at Bangalore.
Lead User 599,lead599@example.com,9000000598,9000000598,contacted,facebook,4700000,8000000,Hyderabad,2 BHK,4,medium,Auto-generated lead 599 interested in 2 BHK at Hyderabad.
Lead User 600,lead600@example.com,9000000599,9000000599,new,referral,3000000,5000000,Delhi,2 BHK,2,low,Auto-generated lead 600 interested in 2 BHK at Delhi.
Lead User 601,lead601@example.com,9000000600,9000000600,new,google_ads,7200000,10900000,Delhi,Villa,5,medium,Auto-generated lead 601 interested in Villa at Delhi.
Lead User 602,lead602@example.com,9000000601,9000000601,contacted,referral,4500000,6200000,Mumbai,3 BHK,4,low,Auto-generated lead 602 interested in 3 BHK at Mumbai.
Lead User 603,lead603@example.com,9000000602,9000000602,qualified,google_ads,3100000,5100000,Hyderabad,Penthouse,4,medium,Auto-generated lead 603 interested in Penthouse at Hyderabad.
Lead User 604,lead604@example.com,9000000603,9000000603,new,google_ads,3700000,5500000,Hyderabad,2 BHK,5,high,Auto-generated lead 604 interested in 2 BHK at Hyderabad.
Lead User 605,lead605@example.com,9000000604,9000000604,qualified,google_ads,3700000,5700000,Delhi,Villa,3,low,Auto-generated lead 605 interested in Villa at Delhi.
Lead User 606,lead606@example.com,9000000605,9000000605,qualified,referral,7900000,12100000,Mumbai,Penthouse,4,low,Auto-generated lead 606 interested in Penthouse at Mumbai.
Lead User 607,lead607@example.com,9000000606,9000000606,qualified,website,7000000,8400000,Pune,3 BHK,4,low,Auto-generated lead 607 interested in 3 BHK at Pune.
Lead User 608,lead608@example.com,9000000607,9000000607,new,website,5500000,7700000,Hyderabad,Villa,4,high,Auto-generated lead 608 interested in Villa at Hyderabad.
Lead User 609,lead609@example.com,9000000608,9000000608,contacted,facebook,4500000,6400000,Mumbai,2 BHK,1,medium,Auto-generated lead 609 interested in 2 BHK at Mumbai.
Lead User 610,lead610@example.com,9000000609,9000000609,contacted,website,4400000,6500000,Hyderabad,2 BHK,2,high,Auto-generated lead 610 interested in 2 BHK at Hyderabad.
Lead User 611,lead611@example.com,9000000610,9000000610,lost,google_ads,4000000,6900000,Mumbai,Penthouse,1,high,Auto-generated lead 611 interested in Penthouse at Mumbai.
Lead User 612,lead612@example.com,9000000611,9000000611,new,facebook,4000000,5100000,Bangalore,1 BHK,4,low,Auto-generated lead 612 interested in 1 BHK at Bangalore.
Lead User 613,lead613@example.com,9000000612,9000000612,new,facebook,6500000,8600000,Mumbai,Penthouse,5,medium,Auto-generated lead 613 interested in Penthouse at Mumbai.
Lead User 614,lead614@example.com,9000000613,9000000613,qualified,google_ads,4400000,7800000,Bangalore,Villa,4,high,Auto-generated lead 614 interested in Villa at Bangalore.
Lead User 615,lead615@example.com,9000000614,9000000614,qualified,referral,3200000,7400000,Delhi,Penthouse,4,high,Auto-generated lead 615 interested in Penthouse at Delhi.
Lead User 616,lead616@example.com,9000000615,9000000615,contacted,google_ads,7100000,8600000,Pune,3 BHK,5,medium,Auto-generated lead 616 interested in 3 BHK at Pune.
Lead User 617,lead617@example.com,9000000616,9000000616,lost,website,3900000,8300000,Pune,Penthouse,2,high,Auto-generated lead 617 interested in Penthouse at Pune.
Lead User 618,lead618@example.com,9000000617,9000000617,new,google_ads,6800000,10900000,Mumbai,4 BHK,3,high,Auto-generated lead 618 interested in 4 BHK at Mumbai.
Lead User 619,lead619@example.com,9000000618,9000000618,lost,referral,6500000,10700000,Delhi,Villa,5,low,Auto-generated lead 619 interested in Villa at Delhi.
Lead User 620,lead620@example.com,9000000619,9000000619,qualified,referral,7800000,11500000,Delhi,4 BHK,4,medium,Auto-generated lead 620 interested in 4 BHK at Delhi.
Lead User 621,lead621@example.com,9000000620,9000000620,lost,facebook,7800000,10700000,Delhi,2 BHK,4,high,Auto-generated lead 621 interested in 2 BHK at Delhi.
Lead User 622,lead622@example.com,9000000621,9000000621,contacted,facebook,3800000,8100000,Pune,4 BHK,4,medium,Auto-generated lead 622 interested in 4 BHK at Pune.
Lead User 623,lead623@example.com,9000000622,9000000622,contacted,website,6800000,8400000,Pune,2 BHK,3,low,Auto-generated lead 623 interested in 2 BHK at Pune.
Lead User 624,lead624@example.com,9000000623,9000000623,contacted,google_ads,7500000,11000000,Pune,3 BHK,1,medium,Auto-generated lead 624 interested in 3 BHK at Pune.
Lead User 625,lead625@example.com,9000000624,9000000624,lost,google_ads,3400000,6600000,Delhi,1 BHK,5,high,Auto-generated lead 625 interested in 1 BHK at Delhi.
Lead User 626,lead626@example.com,9000000625,9000000625,qualified,google_ads,3700000,4800000,Mumbai,4 BHK,1,high,Auto-generated lead 626 interested in 4 BHK at Mumbai.
Lead User 627,lead627@example.com,9000000626,9000000626,lost,referral,7500000,8700000,Pune,4 BHK,2,high,Auto-generated lead 627 interested in 4 BHK at Pune.
Lead User 628,lead628@example.com,9000000627,9000000627,new,website,3000000,6900000,Pune,Villa,2,low,Auto-generated lead 628 interested in Villa at Pune.
Lead User 629,lead629@example.com,9000000628,9000000628,lost,website,4400000,6800000,Mumbai,Villa,2,high,Auto-generated lead 629 interested in Villa at Mumbai.
Lead User 630,lead630@example.com,9000000629,9000000629,contacted,referral,6300000,8500000,Bangalore,Villa,3,medium,Auto-generated lead 630 interested in Villa at Bangalore.
Lead User 631,lead631@example.com,9000000630,9000000630,qualified,website,7900000,10300000,Pune,2 BHK,2,low,Auto-generated lead 631 interested in 2 BHK at Pune.
Lead User 632,lead632@example.com,9000000631,9000000631,contacted,website,6900000,11900000,Hyderabad,Penthouse,2,medium,Auto-generated lead 632 interested in Penthouse at Hyderabad.
Lead User 633,lead633@example.com,9000000632,9000000632,qualified,google_ads,3500000,7600000,Mumbai,2 BHK,4,low,Auto-generated lead 633 interested in 2 BHK at Mumbai.
Lead User 634,lead634@example.com,9000000633,9000000633,new,referral,5600000,9300000,Hyderabad,Penthouse,2,high,Auto-generated lead 634 interested in Penthouse at Hyderabad.
Lead User 635,lead635@example.com,9000000634,9000000634,new,referral,5300000,7100000,Delhi,1 BHK,2,high,Auto-generated lead 635 interested in 1 BHK at Delhi.
Lead User 636,lead636@example.com,9000000635,9000000635,new,referral,7800000,12200000,Bangalore,1 BHK,4,medium,Auto-generated lead 636 interested in 1 BHK at Bangalore.
Lead User 637,lead637@example.com,9000000636,9000000636,lost,google_ads,6000000,8000000,Hyderabad,Villa,4,low,Auto-generated lead 637 interested in Villa at Hyderabad.
Lead User 638,lead638@example.com,9000000637,9000000637,new,referral,3300000,7300000,Delhi,Villa,2,medium,Auto-generated lead 638 interested in Villa at Delhi.
Lead User 639,lead639@example.com,9000000638,9000000638,qualified,website,5400000,9400000,Hyderabad,2 BHK,3,low,Auto-generated lead 639 interested in 2 BHK at Hyderabad.
Lead User 640,lead640@example.com,9000000639,9000000639,contacted,facebook,3800000,8300000,Bangalore,2 BHK,3,high,Auto-generated lead 640 interested in 2 BHK at Bangalore.
Lead User 641,lead641@example.com,9000000640,9000000640,contacted,website,4500000,7500000,Hyderabad,1 BHK,5,medium,Auto-generated lead 641 interested in 1 BHK at Hyderabad.
Lead User 642,lead642@example.com,9000000641,9000000641,qualified,website,3100000,6200000,Hyderabad,Penthouse,4,high,Auto-generated lead 642 interested in Penthouse at Hyderabad.
Lead User 643,lead643@example.com,9000000642,9000000642,contacted,google_ads,7100000,10000000,Hyderabad,Villa,2,medium,Auto-generated lead 643 interested in Villa at Hyderabad.
Lead User 644,lead644@example.com,9000000643,9000000643,contacted,google_ads,3200000,6100000,Pune,1 BHK,4,low,Auto-generated lead 644 interested in 1 BHK at Pune.
Lead User 645,lead645@example.com,9000000644,9000000644,contacted,referral,5800000,9300000,Pune,Villa,3,medium,Auto-generated lead 645 interested in Villa at Pune.
Lead User 646,lead646@example.com,9000000645,9000000645,new,google_ads,3000000,6000000,Mumbai,3 BHK,4,medium,Auto-generated lead 646 interested in 3 BHK at Mumbai.
Lead User 647,lead647@example.com,9000000646,9000000646,qualified,google_ads,5400000,8700000,Hyderabad,4 BHK,1,medium,Auto-generated lead 647 interested in 4 BHK at Hyderabad.
Lead User 648,lead648@example.com,9000000647,9000000647,new,website,6800000,9900000,Pune,4 BHK,2,high,Auto-generated lead 648 interested in 4 BHK at Pune.
Lead User 649,lead649@example.com,9000000648,9000000648,lost,referral,3800000,6800000,Hyderabad,Villa,5,high,Auto-generated lead 649 interested in Villa at Hyderabad.
Lead User 650,lead650@example.com,9000000649,9000000649,new,referral,4800000,8800000,Pune,4 BHK,1,high,Auto-generated lead 650 interested in 4 BHK at Pune.
Lead User 651,lead651@example.com,9000000650,9000000650,new,google_ads,5500000,10100000,Mumbai,Penthouse,5,medium,Auto-generated lead 651 interested in Penthouse at Mumbai.
Lead User 652,lead652@example.com,9000000651,9000000651,qualified,google_ads,4800000,8700000,Delhi,3 BHK,4,low,Auto-generated lead 652 interested in 3 BHK at Delhi.
Lead User 653,lead653@example.com,9000000652,9000000652,qualified,website,3800000,8700000,Pune,4 BHK,4,high,Auto-generated lead 653 interested in 4 BHK at Pune.
Lead User 654,lead654@example.com,9000000653,9000000653,lost,google_ads,3900000,4900000,Bangalore,3 BHK,3,medium,Auto-generated lead 654 interested in 3 BHK at Bangalore.
Lead User 655,lead655@example.com,9000000654,9000000654,new,website,7400000,8700000,Bangalore,1 BHK,1,medium,Auto-generated lead 655 interested in 1 BHK at Bangalore.
Lead User 656,lead656@example.com,9000000655,9000000655,new,google_ads,5000000,9600000,Mumbai,1 BHK,2,high,Auto-generated lead 656 interested in 1 BHK at Mumbai.
Lead User 657,lead657@example.com,9000000656,9000000656,qualified,website,6800000,8000000,Delhi,Villa,3,low,Auto-generated lead 657 interested in Villa at Delhi.
Lead User 658,lead658@example.com,9000000657,9000000657,qualified,facebook,7700000,10500000,Delhi,3 BHK,5,high,Auto-generated lead 658 interested in 3 BHK at Delhi.
Lead User 659,lead659@example.com,9000000658,9000000658,qualified,google_ads,4600000,8600000,Pune,3 BHK,2,low,Auto-generated lead 659 interested in 3 BHK at Pune.
Lead User 660,lead660@example.com,9000000659,9000000659,lost,facebook,3800000,7300000,Mumbai,3 BHK,3,high,Auto-generated lead 660 interested in 3 BHK at Mumbai.
Lead User 661,lead661@example.com,9000000660,9000000660,qualified,google_ads,5400000,7200000,Pune,2 BHK,1,low,Auto-generated lead 661 interested in 2 BHK at Pune.
Lead User 662,lead662@example.com,9000000661,9000000661,new,facebook,5300000,9000000,Pune,Villa,1,medium,Auto-generated lead 662 interested in Villa at Pune.
Lead User 663,lead663@example.com,9000000662,9000000662,contacted,referral,4400000,6400000,Delhi,4 BHK,1,medium,Auto-generated lead 663 interested in 4 BHK at Delhi.
Lead User 664,lead664@example.com,9000000663,9000000663,qualified,facebook,3200000,5500000,Pune,2 BHK,2,high,Auto-generated lead 664 interested in 2 BHK at Pune.
Lead User 665,lead665@example.com,9000000664,9000000664,new,referral,5900000,9700000,Bangalore,Villa,1,high,Auto-generated lead 665 interested in Villa at Bangalore.
Lead User 666,lead666@example.com,9000000665,9000000665,lost,website,7500000,8800000,Delhi,2 BHK,5,low,Auto-generated lead 666 interested in 2 BHK at Delhi.
Lead User 667,lead667@example.com,9000000666,9000000666,lost,referral,5900000,7300000,Mumbai,3 BHK,1,medium,Auto-generated lead 667 interested in 3 BHK at Mumbai.
Lead User 668,lead668@example.com,9000000667,9000000667,qualified,referral,4500000,8100000,Pune,2 BHK,4,medium,Auto-generated lead 668 interested in 2 BHK at Pune.
Lead User 669,lead669@example.com,9000000668,9000000668,lost,website,6200000,7900000,Hyderabad,4 BHK,1,high,Auto-generated lead 669 interested in 4 BHK at Hyderabad.
Lead User 670,lead670@example.com,9000000669,9000000669,new,google_ads,4500000,9200000,Mumbai,Villa,2,high,Auto-generated lead 670 interested in Villa at Mumbai.
Lead User 671,lead671@example.com,9000000670,9000000670,contacted,google_ads,6000000,8500000,Pune,1 BHK,5,low,Auto-generated lead 671 interested in 1 BHK at Pune.
Lead User 672,lead672@example.com,9000000671,9000000671,lost,referral,5700000,10500000,Bangalore,1 BHK,2,medium,Auto-generated lead 672 interested in 1 BHK at Bangalore.
Lead User 673,lead673@example.com,9000000672,9000000672,qualified,google_ads,3700000,7500000,Pune,3 BHK,3,low,Auto-generated lead 673 interested in 3 BHK at Pune.
Lead User 674,lead674@example.com,9000000673,9000000673,new,google_ads,4800000,9000000,Hyderabad,1 BHK,5,low,Auto-generated lead 674 interested in 1 BHK at Hyderabad.
Lead User 675,lead675@example.com,9000000674,9000000674,lost,google_ads,3300000,4300000,Delhi,Villa,2,medium,Auto-generated lead 675 interested in Villa at Delhi.
Lead User 676,lead676@example.com,9000000675,9000000675,new,facebook,5200000,8600000,Pune,Penthouse,2,medium,Auto-generated lead 676 interested in Penthouse at Pune.
Lead User 677,lead677@example.com,9000000676,9000000676,contacted,website,5600000,10100000,Pune,Penthouse,4,low,Auto-generated lead 677 interested in Penthouse at Pune.
Lead User 678,lead678@example.com,9000000677,9000000677,qualified,facebook,5800000,9200000,Pune,Penthouse,1,medium,Auto-generated lead 678 interested in Penthouse at Pune.
Lead User 679,lead679@example.com,9000000678,9000000678,lost,google_ads,4500000,7300000,Pune,3 BHK,5,low,Auto-generated lead 679 interested in 3 BHK at Pune.
Lead User 680,lead680@example.com,9000000679,9000000679,lost,facebook,3600000,5700000,Mumbai,4 BHK,5,medium,Auto-generated lead 680 interested in 4 BHK at Mumbai.
Lead User 681,lead681@example.com,9000000680,9000000680,qualified,referral,5600000,10500000,Mumbai,4 BHK,5,medium,Auto-generated lead 681 interested in 4 BHK at Mumbai.
Lead User 682,lead682@example.com,9000000681,9000000681,new,facebook,4800000,8900000,Delhi,Penthouse,5,medium,Auto-generated lead 682 interested in Penthouse at Delhi.
Lead User 683,lead683@example.com,9000000682,9000000682,lost,website,5900000,10700000,Mumbai,1 BHK,2,medium,Auto-generated lead 683 interested in 1 BHK at Mumbai.
Lead User 684,lead684@example.com,9000000683,9000000683,new,facebook,5800000,7300000,Hyderabad,Villa,1,high,Auto-generated lead 684 interested in Villa at Hyderabad.
Lead User 685,lead685@example.com,9000000684,9000000684,new,facebook,6600000,10300000,Delhi,2 BHK,2,high,Auto-generated lead 685 interested in 2 BHK at Delhi.
Lead User 686,lead686@example.com,9000000685,9000000685,contacted,website,4300000,7500000,Pune,4 BHK,1,medium,Auto-generated lead 686 interested in 4 BHK at Pune.
Lead User 687,lead687@example.com,9000000686,9000000686,contacted,website,7300000,8900000,Hyderabad,Penthouse,5,medium,Auto-generated lead 687 interested in Penthouse at Hyderabad.
Lead User 688,lead688@example.com,9000000687,9000000687,contacted,facebook,5400000,8800000,Delhi,4 BHK,4,high,Auto-generated lead 688 interested in 4 BHK at Delhi.
Lead User 689,lead689@example.com,9000000688,9000000688,lost,website,3800000,7800000,Hyderabad,Penthouse,1,high,Auto-generated lead 689 interested in Penthouse at Hyderabad.
Lead User 690,lead690@example.com,9000000689,9000000689,qualified,facebook,6600000,9900000,Bangalore,1 BHK,2,high,Auto-generated lead 690 interested in 1 BHK at Bangalore.
Lead User 691,lead691@example.com,9000000690,9000000690,lost,referral,4700000,5800000,Delhi,Penthouse,4,medium,Auto-generated lead 691 interested in Penthouse at Delhi.
Lead User 692,lead692@example.com,9000000691,9000000691,lost,google_ads,7600000,11300000,Mumbai,Villa,1,medium,Auto-generated lead 692 interested in Villa at Mumbai.
Lead User 693,lead693@example.com,9000000692,9000000692,contacted,website,6400000,10600000,Pune,Penthouse,4,medium,Auto-generated lead 693 interested in Penthouse at Pune.
Lead User 694,lead694@example.com,9000000693,9000000693,contacted,google_ads,6300000,10800000,Hyderabad,Villa,4,medium,Auto-generated lead 694 interested in Villa at Hyderabad.
Lead User 695,lead695@example.com,9000000694,9000000694,qualified,referral,7600000,10000000,Hyderabad,3 BHK,5,low,Auto-generated lead 695 interested in 3 BHK at Hyderabad.
Lead User 696,lead696@example.com,9000000695,9000000695,lost,website,4700000,6800000,Hyderabad,4 BHK,3,high,Auto-generated lead 696 interested in 4 BHK at Hyderabad.
Lead User 697,lead697@example.com,9000000696,9000000696,new,referral,7100000,8700000,Bangalore,2 BHK,1,low,Auto-generated lead 697 interested in 2 BHK at Bangalore.
Lead User 698,lead698@example.com,9000000697,9000000697,lost,google_ads,4700000,6400000,Mumbai,4 BHK,1,medium,Auto-generated lead 698 interested in 4 BHK at Mumbai.
Lead User 699,lead699@example.com,9000000698,9000000698,contacted,website,4200000,7900000,Mumbai,2 BHK,1,high,Auto-generated lead 699 interested in 2 BHK at Mumbai.
Lead User 700,lead700@example.com,9000000699,9000000699,contacted,facebook,3500000,5600000,Mumbai,4 BHK,3,low,Auto-generated lead 700 interested in 4 BHK at Mumbai.
Lead User 701,lead701@example.com,9000000700,9000000700,new,facebook,4600000,7400000,Bangalore,2 BHK,4,medium,Auto-generated lead 701 interested in 2 BHK at Bangalore.
Lead User 702,lead702@example.com,9000000701,9000000701,new,referral,5100000,9600000,Pune,4 BHK,1,medium,Auto-generated lead 702 interested in 4 BHK at Pune.
Lead User 703,lead703@example.com,9000000702,9000000702,new,facebook,7200000,8800000,Pune,4 BHK,1,medium,Auto-generated lead 703 interested in 4 BHK at Pune.
Lead User 704,lead704@example.com,9000000703,9000000703,contacted,website,4400000,8500000,Bangalore,Villa,1,low,Auto-generated lead 704 interested in Villa at Bangalore.
Lead User 705,lead705@example.com,9000000704,9000000704,lost,website,7500000,8900000,Bangalore,Villa,2,medium,Auto-generated lead 705 interested in Villa at Bangalore.
Lead User 706,lead706@example.com,9000000705,9000000705,lost,referral,5200000,7100000,Hyderabad,Penthouse,4,high,Auto-generated lead 706 interested in Penthouse at Hyderabad.
Lead User 707,lead707@example.com,9000000706,9000000706,contacted,referral,3500000,7900000,Bangalore,1 BHK,2,medium,Auto-generated lead 707 interested in 1 BHK at Bangalore.
Lead User 708,lead708@example.com,9000000707,9000000707,lost,website,4100000,7000000,Hyderabad,2 BHK,1,high,Auto-generated lead 708 interested in 2 BHK at Hyderabad.
Lead User 709,lead709@example.com,9000000708,9000000708,contacted,google_ads,7400000,10500000,Delhi,Villa,5,low,Auto-generated lead 709 interested in Villa at Delhi.
Lead User 710,lead710@example.com,9000000709,9000000709,new,google_ads,3500000,6400000,Delhi,3 BHK,5,medium,Auto-generated lead 710 interested in 3 BHK at Delhi.
Lead User 711,lead711@example.com,9000000710,9000000710,contacted,referral,7500000,11600000,Delhi,1 BHK,3,medium,Auto-generated lead 711 interested in 1 BHK at Delhi.
Lead User 712,lead712@example.com,9000000711,9000000711,lost,website,4700000,7700000,Hyderabad,1 BHK,4,low,Auto-generated lead 712 interested in 1 BHK at Hyderabad.
Lead User 713,lead713@example.com,9000000712,9000000712,lost,google_ads,3900000,8400000,Bangalore,4 BHK,2,high,Auto-generated lead 713 interested in 4 BHK at Bangalore.
Lead User 714,lead714@example.com,9000000713,9000000713,new,facebook,6100000,8800000,Mumbai,1 BHK,4,medium,Auto-generated lead 714 interested in 1 BHK at Mumbai.
Lead User 715,lead715@example.com,9000000714,9000000714,qualified,google_ads,5300000,9100000,Delhi,4 BHK,2,medium,Auto-generated lead 715 interested in 4 BHK at Delhi.
Lead User 716,lead716@example.com,9000000715,9000000715,contacted,facebook,3300000,4300000,Bangalore,2 BHK,2,medium,Auto-generated lead 716 interested in 2 BHK at Bangalore.
Lead User 717,lead717@example.com,9000000716,9000000716,contacted,website,5100000,8500000,Delhi,2 BHK,4,medium,Auto-generated lead 717 interested in 2 BHK at Delhi.
Lead User 718,lead718@example.com,9000000717,9000000717,contacted,referral,7000000,9400000,Mumbai,2 BHK,1,medium,Auto-generated lead 718 interested in 2 BHK at Mumbai.
Lead User 719,lead719@example.com,9000000718,9000000718,qualified,facebook,5700000,10000000,Delhi,4 BHK,2,medium,Auto-generated lead 719 interested in 4 BHK at Delhi.
Lead User 720,lead720@example.com,9000000719,9000000719,lost,facebook,4500000,6600000,Delhi,Villa,1,low,Auto-generated lead 720 interested in Villa at Delhi.
Lead User 721,lead721@example.com,9000000720,9000000720,contacted,google_ads,5500000,6600000,Hyderabad,Penthouse,3,medium,Auto-generated lead 721 interested in Penthouse at Hyderabad.
Lead User 722,lead722@example.com,9000000721,9000000721,qualified,referral,3800000,8100000,Mumbai,1 BHK,2,medium,Auto-generated lead 722 interested in 1 BHK at Mumbai.
Lead User 723,lead723@example.com,9000000722,9000000722,lost,facebook,4100000,8600000,Hyderabad,1 BHK,2,high,Auto-generated lead 723 interested in 1 BHK at Hyderabad.
Lead User 724,lead724@example.com,9000000723,9000000723,contacted,google_ads,6400000,8000000,Hyderabad,Penthouse,1,high,Auto-generated lead 724 interested in Penthouse at Hyderabad.
Lead User 725,lead725@example.com,9000000724,9000000724,new,website,4200000,5900000,Delhi,1 BHK,2,low,Auto-generated lead 725 interested in 1 BHK at Delhi.
Lead User 726,lead726@example.com,9000000725,9000000725,contacted,referral,6600000,8600000,Bangalore,Penthouse,5,high,Auto-generated lead 726 interested in Penthouse at Bangalore.
Lead User 727,lead727@example.com,9000000726,9000000726,new,google_ads,7300000,8800000,Delhi,2 BHK,4,high,Auto-generated lead 727 interested in 2 BHK at Delhi.
